xea,ˈxeɐ̯,PART,To stand > Existing/There being,xê,ˈxiː,arrhea
nêre,ˈnerɛ,PART,To stand > Not existing/There not being,jîxê,ˈjĩɣɘː,nêre
xeañef,ˈxeɐ̯ɴɛf,VERB,To stand > To exist/There be (Perf),xêñef,ˈxiːŋɐf,arrheañef
xeañ,ˈxeɐ̯ɴ,VERB,To stand > To exist/There be (Imperf),xêñ,ˈxiːŋ,arrheañ
xaśonj,ˈxæɕɔɲ,NOUN - People,Person (H),xelakân,ˈxɛɬkɑːn,arrhaśonj
vaśke,ˈʋæɕkɛ,NOUN - Sky,Sky (D),valanâtoche,ˈvæɬˌn̥aːd̚d͡ʒɐ,vaśnjaogge

ljix,ˈʎix,NOUN-Postpos,Back > Behind (I),lijam,ˈliççæm̥,ljixxamh
pon,ˈpɔn̥,NOUN-Postpos,Side > Beside/Next to (I),ponhen,ˈpɔn̥ħɐn̥,ponħonjh
fśeaz,ˈfɕeɐ̯z,NOUN-Postpos,Nose > In front (I),flezchâma,ˈfɬɛːzˌd͡ʒaːmæ,fśeazgaoma
vaś,ˈʋæɕ,NOUN-Postpos,Sky > Above/Over (I),valanâton,ˈvæɬˌn̥aːd̚ɐn̥,vaśnjaonjenjh
xacca,ˈxæccæ,NOUN-Postpos,Mountain > Above/Over (I),xetaq,ˈxɛt̚tæq̚,arrhacca
qunjh,ˈɢuɲ̊,NOUN-Postpos,To place/To put > On (Top of) (I),qutun,ˈqut̚tun̥,quttunjh
mekke,ˈmɛkkɛ,NOUN-Postpos,Earth > Ground (I),metireqiche,ˈmɛʈ̚ˌɛq̚t͡ʃɐ,me'ekke
ghêamh,ˈɣeæm̥,NOUN-Postpos,Leaf > Hanging On/Off (I),gêam,ˈɣiːæm̥,arrêamh
yêrh,ˈɟer̥,NOUN-Postpos,Fruit > Result/Resulting in (I),ixeha,ˈʔixħæ,yêrħa
qâu,ˈɢɑʊ̯,NOUN-Postpos,Near (I) (>qâv),âve,ˈʔaːvɐ,qâuo
riem,ˈrie̯m,NOUN-Postpos,Far > Far from (I),rêmuh,ˈriːmuħ,erriemüħ
âur,ˈɑʊ̯r,NOUN-Postpos,Right (I),ghug,ˈɐʊ̯ɣ,âur
ħeim,ˈħei̯m,NOUN-Postpos,Left (I),ighêmpi,ˈʔiħˌħɨːmbi,yiħħeimbi
ħaie,ˈħæɪ̯ɛ,NOUN-Postpos,Long > Along (I),ukhae,ˈʔuk̚ˌħæʔɐ,qu'ħa'e
puoñh,ˈpuo̯ɴ̥,NOUN-Postpos,Short > Across (I),pûvloñ,ˈpũːvlɐŋ̊,pumvljoñh
moa',ˈmoɐ̯ʔ,NOUN-Postpos,Straight > Opposite/Against (I),mughet,ˈmuɐ̯ɐːt̚,moaoa'
quonj,ˈɢuo̯ɲ,NOUN-Postpos,Settlement > In/Inside (I),qutunân,ˈqut̚n̥ɑːn,qu'njonj
vaoñ,ˈʋæo̯ɴ,NOUN-Postpos,Road > Out/Outside (I),vâkutsan,ˈvaːg̚d͡ðæn̥,vaoñdvanjh
ñieñ,ˈɴie̯ɴ,NOUN-Postpos,Blood > Throughout/During/Over the Length of (I),êvñêka,ˈjeːvˌŋiːg̚æ,jêñieña
ñêr,ˈɴer,NOUN-Postpos,Round > Around (I),ñîxe,ˈŋĩɣɐ,ñêra

ljiħħeimonj,ˈʎiħˌħei̯mɔɲ,NOUN - Region,Birth > Homeland (H),lihêmjân,ˈliħˌħɨːmjɑːn,ljiħħeimghonj
qamkonj,ˈɢæm̥kɔɲ,NOUN - Region,Ancestor > Homeland (H),qamichân,ˈqæm̥t͡ʃɑːn,qamkonj
kuskonj,ˈkuskɔɲ,NOUN - Region,Plenitude > Land of Plenty (H),chusochân,ˈt͡ʃust͡ʃɑːn,kuskonj
puruttśonj,ˈpuˌrucc͡ɕɔɲ,NOUN - Region,Lower River (H),pûrukzân,ˈpũːˌruk̚sɑːn,puruttśonj
xâeputtśonj,ˈxɑe̯ˌpucc͡ɕɔɲ,NOUN - Region,Upper River (H),xâpukzân,ˈxaːˌpuk̚sɑːn,ârrhâeputtśonj
xärrhättśonj,ˈxar̥ˌr̥acc͡ɕɔɲ,NOUN - Region,River Coast (H),xagakzân,ˈxæxˌxæk̚sɑːn,arrhärrhättśonj
ienjeħħonj,ˈie̯ˌɲɛħħɔɲ,NOUN - Region,North > The Northlands (H),gjîehân,ˈʝĩːˌɛħħɑːn,ienjeħħonj
yinddźaħonj,ˈɟiɲɟˌɟ͡ʑæħɔɲ,NOUN - Region,South > The Southlands (H),îksâhân,ˈʔĩːg̚ˌzaħɑːn,yinddźaħonj
ârrhâfonj,ʌr̥ˈr̥ʌfɔɲ,NOUN - Region,Up-Land > The Highlands (H),xâfân,ˈxafɑːn,ârrhâfonj
śaśśüênj,ˈɕæɕˌɕyeɲ,NOUN - Region,Sea Dragon > The Strait (H),ksalêvôn,ˈksæɬˌɬiːvɘːn,śaśśüênj
pfośħonj,ˈpfɔɕħɔɲ,NOUN - Region,Albatross > Island across the Strait (H),pwolvân,ˈpɸɔɬfɑːn,pfośħonj
meccêźeamonj,ˈmɛcceʑˌeɐ̯mɔɲ,NOUN - Region,Lake-Left > West of Lake (H),metêzghêmân,ˈmɛt̚tɘːzˌɐːmɑːn,meccêźeamonj
meccêźaorrânj,ˈmɛcceʑˌæo̯rrʌɲ,NOUN - Region,Lake-Right > East of Lake (H),metêzghugân,ˈmɛt̚tɘːzˌɐʊ̯ɣɣɑːn,meccêźaorrânj
jêiśħeimonj,ˈjeiɕˌħei̯mɔɲ,NOUN - Region,Water-Birth > Mountain Springs (H),êvilhêmân,ˈjeːviɬˌħɨːmɑːn,jêiśħeimonj
śaśśüħênj,ˈɕæɕˌɕyħeɲ,NOUN - Region,Seadragon Strait Coast (H),ksalêvehôn,ˈksæɬˌɬiːvɘːn,śaśśüênj
meffeśteħħênj,ˈmɛffɛɕˌtɛħħeɲ,NOUN - Region,Elephant Plains (H),metvostrehôn,ˈmɛt̚fɐsˌʈɛħħɘːn,me'feśteħħênj
ghaźbêrrânj,ˈɣæʑˌberrʌɲ,NOUN - Region,Olive Coast (H),gezpixagân,ˈɣɛːzˌbiɣɣɑːn,arraźbêrrânj
rhiemênj,ˈr̥ie̯meɲ,NOUN - Region,The Savannah (H),qrêpehôn,ˈqr̥iːb̚ɘːn,rhiemênj
uttyvâencox,ˈuttyˌʋɑe̯ɲ̊cɔx,NOUN - Region,Fisherman Islands (H.pl),kuktrîkêwehantoj,ˈkuk̚ʈiːkɘːwˌɑɛ̯n̥tɐç,uttiouâencox
quoźo'âenqënj,ˈɢuo̯ʑɔʔˌɑe̯nɢɤɲ,NOUN - Region,The Two Rivers (H.d),ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚,quëźo'âenqënj
moanduâenyox,ˈmoɐ̯nduˌɑe̯ɲɟɔx,NOUN - Region,Pine Forests (H.p),mughhôktsalântoj,ˈmuɐ̯ɘːg̚ˌd͡ðlaːndɐç,moaëñdvljâenyox
fienjafrhienyex,ˈfie̯ɲæˌfr̥ie̯ɲɟɛx,NOUN - Region,The Foothills (H.p),kwênaqtsirêntoj,ˈkɸiːnæq̚ˌt͡θr̥iːndɐç,fienjatfrhienyex
varcindüaonyex,ˈʋær̥cindyˌæo̯ɲɟɛx,NOUN - Region,Hunter Forests (H.p),varhatînhôktsalântoj,ˈvær̥ħæt̚tĩːɘːg̚ˌd͡ðlaːndɐç,varħaccinjêñdvljaonyex
ghaonyappaonyex,ˈɣæo̯ɲɟæpˌpæo̯ɲɟɛx,NOUN - Region,Rockbird Mountains (H.p),gjâñtaqpûholxetapântoj,ˈʝaːŋdæq̚puːħɐɬxɐt̚ˌpaːndɐç,ghaoñeyappüħeśrhappaonyex

vônśko,ˈʋoɲ̊ɕkɔ,NOUN - Mythos,Frost Bird > North (D),ôtêwpûholche,ˈwoːd̚ɘːwbuːˌħɔɬt͡ʃɐ,vônjoubuħośko
ħanśko,ˈħæɲ̊ɕkɔ,NOUN - Mythos,Flame Bird > South (D),hanemîpûholche,ˈħæn̥m̥iːpuːˌħɔɬt͡ʃɐ,ħanjmipüħośko
pâenśko,ˈpɑe̯ɲ̊ɕkɔ,NOUN - Mythos,Storm Bird > West~SW (D),pâtakpûholche,ˈpaːd̚æk̚puːˌħɔɬt͡ʃɐ,pâenjappuħośko
ghâeñośko,ˈɣɑe̯ɴˌɔɕkɔ,NOUN - Mythos,Mountain Bird > East (D),gjâñtaqpûholche,ˈʝaːŋdæq̚puːˌħɔɬt͡ʃɐ,ghâeñoyappuħośko
verħośko,ˈʋɛr̥ˌħɔɕkɔ,NOUN - Mythos,Rain Bird > Northwest (D),verjâpûholche,ˈvɛr̥çɑːpuːˌħɔɬt͡ʃɐ,verxopüħośko

ljanêrmonj,ˈʎæˌnermɔɲ,NOUN - Region,Goddess of the Dead > Realm of the Dead/The Cursed Desert (H),lakîxamân,ˈlæk̚ˌkĩɣmɑːn,ljanêrmonj
ħancśicceuźikke,ˈħæɲ̊c͡ɕiccøʊ̯ˌʑikkɛ,NOUN - Region,Oasis of Spirits (D),hanvalitetêvziche,ˈħæn̥fɬit̚tɘːvˌzit̚t͡ʃɐ,ħanħśicceuźikke
ħa'üħħercakke,ˈħæʔyħħɛr̥ˌcækkɛ,NOUN - Region,Ashen Mountains (D),hauhîxetaqiche,ˈħæʔuħħɨxˌtæq̚t͡ʃɐ,ħa'üħħerhacakke
firca'innjikke,ˈfir̥cæʔiɲ̊ˌɲ̊ikkɛ,NOUN - Region,(Plains of) The Eternal Duststorm (D),firêmtaitoniche,ˈfir̥r̥ɘːmdæʔit̚ˌn̥it̚t͡ʃɐ,firrhêmya'i'njikke
färhemvaonjonj,ˈfar̥ɛmˌʋæo̯ɲɔɲ,NOUN - Region,The Last Outpost (H),faxrêmfânân,ˈfæxr̥ɘːmˌvaːnɑːn,färhemvaonjonj

