arràľiʔ,ærˈræʎiʔ,ADJ,Mighty,glip,ˈɣlip̚
àśśo,ˈæɕɕɔ,ADJ,Smug/Priggish,kalâ,ˈkæɬɬɑː
ârróarom,ʌrˈroɐ̯rɔm̥,ADJ,Thin,gôrkem,ˈɣuːrgɐm̥
ârróńə,ʌrˈroɲɤ,ADJ,Powerful,gûtji,ˈɣũːd̚ji
ârrózǵə,ʌrˈrozɟɤ,ADJ,Dull,grûsti,ˈɣrũzdi
èteʔ,ˈɛtɛʔ,ADJ,New,kertop,ˈkɛʈɐp̚
éřřàtař,ˈer̥ˌr̥ætær̥,ADJ,Heavy,kigertar,ˈkixˌxɛʈær̥
fířřêm,ˈfir̥r̥em,ADJ,Enternal,firêm,ˈfir̥r̥ɘːm
fří,ˈfr̥i,ADJ,Other,fri,ˈfr̥i
fřítce,ˈfr̥itcɛ,ADJ,Thick,frito,ˈfr̥it̚tɐ
fřítcê,ˈfr̥itce,ADJ,Dry,fritô,ˈfr̥it̚tɘː
ǵàʔyʔ,ˈɟæʔyʔ,ADJ,Cold,aut,ˈʔæʔut̚
ǵířper,ˈɟir̥pɛr,ADJ,Bad,irpêg,ˈʔir̥pɘːɣ
háero,ˈħɑe̯rɔ,ADJ,Dirty,hârke,ˈħaːrgɐ
hóu,ˈħou̯,ADJ,Good,hev,ˈħɜːv
màřřê,ˈmær̥r̥e,ADJ,Useful,mexî,ˈmɛxxiː
mètcàfe,ˈmɛtˌcæfɛ,ADJ,Big,metafke,ˈmɛt̚ˌtæfkɐ
mjéare,ˈmjeɐ̯rɛ,ADJ,Hard/Difficult,mwîgegh,ˈmɥĩːɣɘː
móaoaʔ,ˈmoɐ̯oɐ̯ʔ,ADJ,Straight,mughet,ˈmuɐ̯ɐːt̚
ńàř,ˈɲær̥,ADJ,Narrow,nex,ˈnɛx
ñéra,ˈɴeræ,ADJ,Round,ñîxe,ˈŋĩɣɐ
pèfe,ˈpɛfɛ,ADJ,Small,pefke,ˈpɛfkɐ
púmfə,ˈpum̥fɤ,ADJ,Correct,pumwê,ˈpum̥ɸɘː
púvľoñ,ˈpuʋʎɔɴ̥,ADJ,Short,pûvloñ,ˈpũːvlɐŋ̊
qóřřānce,ˈɢor̥ˌr̥an̥cɛ,ADJ,Wide,ugane,ˈʔuxˌxæn̥n̥ɐ
qúffèhhi,ˈɢufˌfɛħħi,ADJ,Rotten,uvewî,ˈʔufˌfɛxxʷiː
qúʔhàʔe,ˈɢuʔˌħæʔɛ,ADJ,Long,ukhae,ˈʔuk̚ˌħæʔɐ
řè,ˈr̥ɛ,ADJ,Hot,pre,ˈpr̥ɛ
úońâeń,ˈuo̯ɲɑe̯ɲ̊,ADJ,Sharp,wôthan,ˈwuːd̚ɑɛ̯n̥
víf,ˈʋif,ADJ,Full,vêf,ˈvif
vómvo,ˈʋomʋɔ,ADJ,Old,ômve,ˈwoːmvɐ
wèhhem,ˈɣɛħħɛm̥,ADJ,Proud,jewom,ˈjɛxxʷɐm̥
áur,ˈɑʊ̯r,ADV,Right,ghug,ˈɐʊ̯ɣ
erríemyh,ɛrˈrie̯myħ,ADV,Far,rêmuh,ˈriːmuħ
fíeñe,ˈfie̯ɴɛ,ADV,All,fêke,ˈfiːg̚ɐ
ǵíhhéimbi,ˈɟiħˌħei̯mbi,ADV,Left,ighêmpi,ˈʔiħˌħɨːmbi
hòmpəń,ˈħɔm̥pɤɲ,ADV,There,homît,ˈħɔm̥m̥iːd̚
qá,ˈɢʌ,ADV,Where,qe,ˈqɜ
qáuo,ˈɢɑʊ̯ɔ,ADV,Near,âve,ˈʔaːvɐ
qò,ˈɢɔ,ADV,When,qo,ˈqɔ
qú,ˈɢu,ADV,How,qi,ˈqɨ
qúmpou,ˈɢum̥pou̯,ADV,Here,umêw,ˈʔum̥m̥ɘːw
arrāqqe,ærˈraɢɢɛ,COLOUR,Black,gaqo,ˈɣæq̚qɐ
óar,ˈoɐ̯r,COLOUR,Red,vug,ˈvuːɣ
pàomva,ˈpæo̯mʋæ,COLOUR,White,pâmva,ˈpaːmvæ
húom,ˈħuo̯m,CONJ,And,hêm,ˈħɨːm
řú,ˈr̥u,CONJ,If ,pru,ˈpr̥u
vèř,ˈʋɛr̥,CONJ,Because,ver,ˈvɛr̥
vòřâr,ˈʋɔr̥ʌr,CONJ,Or,ôxig,ˈwoxiːɣ
ařřé,ær̥ˈr̥e,DET,Few,xi,ˈxi
àoxxa,ˈæo̯xxæ,DET,This,ghuja,ˈɐʊ̯ççæ
kúppa,ˈkuppæ,DET,Many,chupa,ˈt͡ʃup̚pæ
qàiah,ˈɢæɪ̯æħ,DET,Every,âjah,ˈʔaːjæħ
vète,ˈʋɛtɛ,DET,More,verto,ˈvɛʈɐ
wàhaʔ,ˈɣæħæʔ,DET,That,jâhap,ˈjaħæp̚
xíeña,ˈxie̯ɴæ,DET,Some,shêña,ˈçiːŋæ
arràombań,ærˈræo̯mbæɲ̊,NOUN,Horn (I),grâmpan,ˈɣraːmbæn̥
arréhhèʔam,ærˈreħˌħɛʔæm̥,NOUN,Woman (A),giheam,ˈɣiħˌħɜʔæm̥
arréño,ærˈreɴɔ,NOUN,Night (I),gjîkâ,ˈɣjĩːg̚ɑː
arrǿmañ,ærˈrømæɴ̥,NOUN,Ear (I),gîlmañ,ˈɣĩːlmæŋ̊
ařřàrrä,ær̥ˈr̥ærra,NOUN,Coast (I),xaga,ˈxæːɣɣæ
ařřàśśaʔ,ær̥ˈr̥æɕɕæʔ,NOUN,Person (A),xelak,ˈxɛɬɬæk̚
ařřàtcaʔ,ær̥ˈr̥ætcæʔ,NOUN,Mountain (I),xetaq,ˈxɛt̚tæq̚
ârráǵa,ʌrˈrʌɟæ,NOUN,Flow (A),goghta,ˈɣɑːdæ
ârrářmíeńa,ʌrˈrʌr̥ˌm̥ie̯ɲæ,NOUN,Freedom (E),gormêta,ˈɣɔr̥ˌm̥iːd̚æ
âřřámpax,ʌr̥ˈr̥ʌm̥pæx,NOUN,Progress (I),xompaj,ˈxɔm̥pæç
âřřóáemaś,ʌr̥ˈr̥oˌɑe̯mæɕ,NOUN,Wing (A),xukâmal,ˈxuk̚ˌkaːmæɬ
âřřótča,ʌr̥ˈr̥otc͡ɕæ,NOUN,Hair (I),xukla,ˈxuk̚ɬæ
càʔítca,ˈcæʔˌitcæ,NOUN,Dust (I),taita,ˈtæʔˌit̚tæ
céřřéaña,ˈcer̥ˌr̥eɐ̯ɴæ,NOUN,Star (E),tixêka,ˈtixˌxiːg̚æ
errèqqa,ɛrˈrɛɢɢæ,NOUN,Stone (I),reqa,ˈrɛq̚qæ
eřříhań,ɛr̥ˈr̥iħæɲ̊,NOUN,Feather (I),krêhan,ˈkr̥iħæn̥
fèñxa,ˈfɛɴ̥xæ,NOUN,Foot (I),kwenja,ˈkɸɛn̥çæ
fśéazgàoma,ˈfɕeɐ̯zˌgæo̯mæ,NOUN,Nose (I),flezchâma,ˈfɬɛːzˌd͡ʒaːmæ
ǵàppíńa,ˈɟæpˌpiɲæ,NOUN,Roar (A),apîta,ˈʔæp̚ˌpĩːd̚æ
ǵàřfäř,ˈɟær̥far̥,NOUN,Child (A),arfax,ˈʔær̥fæx
ǵàsřúoľa,ˈɟæsˌr̥uo̯ʎæ,NOUN,Example (I),asqrôla,ˈʔæsˌqr̥uːlæ
ǵàʔytcýaʔ,ˈɟæʔytˌcyæʔ,NOUN,Ice (I),autêvat,ˈʔæʔut̚ˌtiːvæt̚
ǵèhha,ˈɟɛħħæ,NOUN,Land (I),eha,ˈʔɛħħæ
ǵídy̌o,ˈɟidɟ͡ʑɔ,NOUN,Day (I),îksâ,ˈʔĩːg̚zɑː
ǵíźmäř,ˈɟiʑmar̥,NOUN,Ideal (I),îzmax,ˈʔĩːzmæx
hàncèmpa,ˈħæn̥ˌcɛm̥pæ,NOUN,Fire (A),hanema,ˈħæn̥ˌn̥ɛm̥m̥æ
hànhàśxo,ˈħæn̥ˌħæɕxɔ,NOUN,Smoke (A),hanvaljâ,ˈħæn̥ˌfæɬçɑː
hàʔúhho,ˈħæʔˌuħħɔ,NOUN,Ashes (I),hauhâ,ˈħæʔˌuħħɑː
hàʔytcýaʔ,ˈħæʔytˌcyæʔ,NOUN,Snow (I),hautêvat,ˈħæʔut̚ˌtiːvæt̚
háeaś,ˈħɑe̯æɕ,NOUN,Insect (I),hoghjal,ˈħɑːjæɬ
hříemâe,ˈħr̥ie̯mɑe̯,NOUN,Father (A),hrêpgha,ˈħr̥iːb̚ɑɛ̯
húoñdvaś,ˈħuo̯ɴdʋæɕ,NOUN,Forest (I),hôktsal,ˈħuːg̚d͡ðæɬ
jéñwúomaʔ,ˈjeɴˌɣuo̯mæʔ,NOUN,Eye (I),êkjômap,ˈjeːg̚ˌjuːmæp̚
kàqqam,ˈkæɢɢæm̥,NOUN,Mother (A),chaqam,ˈt͡ʃæq̚qæm̥
kíxeź,ˈkixɛʑ,NOUN,Beach (I),chêshaz,ˈt͡ʃiçæːz
kòʔam,ˈkɔʔæm̥,NOUN,Man (A),choam,ˈt͡ʃɔʔæm̥
kúińaś,ˈkuɪ̯ɲæɕ,NOUN,Size (I),chûjas,ˈt͡ʃũːjæs
lúppäř,ˈluppar̥,NOUN,Tail (I),lupax,ˈlup̚pæx
ľéaràhhaʔ,ˈʎeɐ̯ˌræħħæʔ,NOUN,Hand (I),lîxehaq,ˈlĩːˌɣɛħħæq̚
ľíxxam,ˈʎixxæm̥,NOUN,Back (I),lijam,ˈliççæm̥
mètcirrèqqa,ˈmɛtcirˌrɛɢɢæ,NOUN,Earth (I),metireqa,ˈmɛt̚tirˌrɛq̚qæ
mètcíeźa,ˈmɛtˌcie̯ʑæ,NOUN,Lake (A),metêza,ˈmɛt̚ˌtiːzæ
mèttørréaźa,ˈmɛttørˌreɐ̯ʑæ,NOUN,Ocean (A),metugêza,ˈmɛt̚tuɣˌɣiːzæ
mía,ˈmiæ,NOUN,Wisdom (E),mêa,ˈmiːæ
míʔmúmař,ˈmiʔˌmumær̥,NOUN,Power (E),miûpar,ˈmiʔˌũːb̚ær̥
múrèʔaś,ˈmuˌrɛʔæɕ,NOUN,Belly (I),vûreal,ˈvũːˌrɛʔæɬ
ñàa,ˈɴææ,NOUN,Flesh (I),ñaka,ˈŋæk̚kæ
pàmfía,ˈpæm̥ˌfiæ,NOUN,Sound (A),pamwêa,ˈpæm̥ˌɸiːæ
pònhoń,ˈpɔn̥ħɔɲ̊,NOUN,Side (of body) (I),ponhen,ˈpɔn̥ħɐn̥
púríʔäř,ˈpuˌriʔar̥,NOUN,Name (A),pûriax,ˈpũːˌriʔæx
púʔaʔ,ˈpuʔæʔ,NOUN,Skin (I),puat,ˈpuʔæt̚
qàqqèřřäh,ˈɢæɢˌɢɛr̥r̥aħ,NOUN,Team (A),qaqixah,ˈqæq̚ˌqɨxxæħ
qúíeźa,ˈɢuˌie̯ʑæ,NOUN,River (A),ukêza,ˈʔuk̚ˌkiːzæ
qúña,ˈɢuɴæ,NOUN,Tooth (I),ûka,ˈʔũːg̚æ
qúomah,ˈɢuo̯mæħ,NOUN,Neck (I),qômah,ˈquːmæħ
qútčíʔo,ˈɢutˌc͡ɕiʔɔ,NOUN,Heart (A),uqsiagh,ˈʔuq̚ˌsiʔaː
qúttàmpaʔ,ˈɢutˌtæm̥pæʔ,NOUN,Rope (I),uktramak,ˈʔuk̚ˌʈæm̥m̥æk̚
qúʔhúsśa,ˈɢuʔˌħusɕæ,NOUN,Year (E),ukhisa,ˈʔuk̚ˌħɨssæ
řía,ˈr̥iæ,NOUN,Sun (E),qrêa,ˈqr̥iːæ
súncam,ˈsun̥cæm̥,NOUN,Other (I~A),sunam,ˈsun̥n̥æm̥
tfàś,ˈtfæɕ,NOUN,Stick (I),tsal,ˈt͡θæɬ
tfířřa,ˈtfir̥r̥æ,NOUN,Hill (I),tsira,ˈt͡θir̥r̥æ
úffař,ˈuffær̥,NOUN,Claw (I),vufar,ˈvuffær̥
vàhhéina,ˈʋæħˌħei̯næ,NOUN,Argument (A),wahîa,ˈwæħˌħɨ̃ːæ
vàhřa,ˈʋæħr̥æ,NOUN,Mistake (I),wahra,ˈwæħr̥æ
vàoña,ˈʋæo̯ɴæ,NOUN,Head (I),vâka,ˈvaːg̚æ
vàś,ˈʋæɕ,NOUN,Moon (E),val,ˈvæɬ
vàśśàncoń,ˈʋæɕˌɕæn̥cɔɲ,NOUN,Sky (A),valanât,ˈvæɬˌɬæn̥n̥ɑːd̚
vàśxoń,ˈʋæɕxɔɲ,NOUN,Cloud (I),valjân,ˈvæɬçɑːn
vàtf,ˈʋætf,NOUN,Mouth (I),vats,ˈvæt͡θ
vàxxíeńa,ˈʋæxˌxie̯ɲæ,NOUN,Wife (A),washîa,ˈwæçˌçĩːæ
váeútfa,ˈʋɑe̯ˌutfæ,NOUN,Road (A),vâkutsa,ˈvaːˌkut̚t͡θæ
vèřxa,ˈʋɛr̥xæ,NOUN,Rain (A),verja,ˈvɛr̥çæ
víffy,ˈʋiffy,NOUN,Victory (E),vifu,ˈviffu
wàř,ˈɣær̥,NOUN,Life (E),jar,ˈjær̥
wáuǵa,ˈɣɑʊ̯ɟæ,NOUN,God (E),jâwta,ˈjaːwdæ
wérèqqa,ˈɣeˌrɛɢɢæ,NOUN,Sand (I),êvreqa,ˈjeːvˌrɛq̚qæ
wéźa,ˈɣeʑæ,NOUN,Water > Water (in the world) (E),êvza,ˈjeːvzæ
xèkkaʔ,ˈxɛkkæʔ,NOUN,Path (I),shechaq,ˈçɛt̚t͡ʃæq̚
xíkkar,ˈxikkær,NOUN,Tongue (A),shichag,ˈçit̚t͡ʃæːɣ
ýma,ˈymæ,NOUN,Knee (I),kêwma,ˈkiːwmæ
zúoma,ˈzuo̯mæ,NOUN,Speech/Voice/Words (E),zûma,ˈzũːæ
źímpaʔ,ˈʑim̥pæʔ,NOUN,Husband (A),zimaq,ˈzim̥m̥æq̚
âřřóazzúoźñə,ʌr̥ˈr̥oɐ̯zˌzuo̯ʑɴɤ,NOUN - Animal,Bee Hive (I),xuzzuzñi,ˈxuːzˌzuːzŋi
âřřóaźño,ʌr̥ˈr̥oɐ̯ʑɴɔ,NOUN - Animal,Bee (A),xuzñe,ˈxuːzŋɐ
fíppòmśa,ˈfipˌpɔm̥ɕæ,NOUN - Animal,Dog (A),fipomla,ˈfip̚ˌpɔm̥ɬæ
hèʔhéii,ˈħɛʔˌħei̯i,NOUN - Animal,Pigsty (I),hekhêkki,ˈħɜk̚ˌħɨːg̚gi
héia,ˈħei̯æ,NOUN - Animal,Pig (A),hêkka,ˈħɨːg̚gæ
hřèsha,ˈħr̥ɛsħæ,NOUN - Animal,Wolf (A),hresfa,ˈħr̥ɛsfæ
hřúonľo,ˈħr̥uo̯nʎɔ,NOUN - Animal,Coyote (A),hrôtlo,ˈħr̥uːd̚lɐ
jézøľa,ˈjezøʎæ,NOUN - Animal,Fish (A),êzvla,ˈjeːzvlæ
màoa,ˈmæo̯æ,NOUN - Animal,Goat (A),mâpka,ˈmaːb̚gæ
màʔmàoi,ˈmæʔˌm̥æo̯i,NOUN - Animal,Goat run (I),mapmâpki,ˈmæp̚ˌm̥aːb̚gi
