qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
qúqqɑ́eår̥,ˈɢuɢˌɢɑe̯ʌr̥,,,uqâox,ˈʔuq̚ˌqaːɐx
qúqqəźǻr̥âń,ˈɢuɢɢɤˌʑʌr̥aɲ̊,,,uqêzoxkan,ˈʔuq̚qɘːˌzɔxkæn̥
qúəźoʔɑ́enqəʔ,ˈɢuɤʑɔʔˌɑe̯nɢɤʔ,,,ukêzeânqôt,ˈʔuk̚kɘːzɐʔˌaːnɢɘːd̚
súńcambonqúəx,ˈsuɲ̊cæmbɔnˌɢuɤx,,,sunamânqôtkish,ˈsun̥n̥æmmɑːnˌɢuːd̚giç
pònhonqúońoñah,ˈpɔn̥ħɔn̥ˌɢuo̯ɲɔɴæħ,,,ponhenqôtñah,ˈpɔn̥ħɐn̥ˌquːd̚ŋæħ
ľíeńyńcoǻr̥fə,ˈʎie̯ɲyɲ̊cɔˌʌr̥fɤ,,,lîuntâoxfê,ˈlĩːun̥tɑːˌɔxfɘː
erríix,ɛrˈriix,,,rêtkish,ˈriːd̚giç
xèkaʔ,ˈxɛkæʔ,,,shechaq,ˈçɛt̚t͡ʃæq̚
erríegøu,ɛrˈrie̯gøʊ̯,,,rêtchôl,ˈriːd̚d͡ʒɘːl
r̥è,ˈr̥ɛ,,,pre,ˈpr̥ɛ
húom,ˈħuo̯m,,,hêm,ˈħɨːm
qò,ˈɢɔ,,,qo,ˈqɔ
ñár̥r̥óarrår̥,ˈɴar̥ˌr̥oɐ̯rrʌr̥,,,ñaxugox,ˈŋæxˌxuːɣɣɐx
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
súńcàmpoń,ˈsuɲ̊ˌcæm̥pɔɲ,,,sunamân,ˈsun̥ˌn̥æm̥m̥ɑːn
qúəźoʔɑ́eñou,ˈɢuɤʑɔʔˌɑe̯ɴou̯,,,ukêzeânchôl,ˈʔuk̚kɘːzɐʔˌaːnd͡ʒɘːl
erríeʔ,ɛrˈrie̯ʔ,,,rêt,ˈriːd̚
